RefDes,Qty,Category,Value,Manufacturer,MPN,LCSC_PN,Package,Footprint,Voltage_Rating,Tolerance,Power_Rating,Assembly,DNP,Notes,Datasheet
J_UART,1,"Headers, Male Pins",PH2.0 3P,JST,S3B-PH-SM4-TB(LF)(SN),C265101,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_S3B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,UART 3V3 TTL 115200; TX/RX named from controller viewpoint.,https://datasheet.lcsc.com/datasheet/pdf/6c6fce4367275d84ec6a99bf09f1250f.pdf?productCode=C265101
J_SWD,1,"Headers, Male Pins",PH2.0 5P,JST,S5B-PH-SM4-TB(LF)(SN),C265104,"SMD,P=2mm,Surface Mount,Right Angle",CONN-SMD_S5B-PH-SM4-TB-LF-SN [UNVERIFIED],,,,SMT_TOP,NO,"3V3 is target voltage reference, not external power input.",https://datasheet.lcsc.com/datasheet/pdf/d87682fbfaf1a1bc6a21af6a6a17fd27.pdf?productCode=C265104
TP_24V_IN,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_5V,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_3V3,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_GND,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_CAN_TX,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_CAN_RX,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_CAN_H,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_CAN_L,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_UART_TX,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_UART_RX,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_NRST,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_BOOT0,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_SD_CLK,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_SWDIO,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_SWCLK,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_USB_DM_RESERVED,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_USB_DP_RESERVED,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
TP_BUCK_PG,1,Test Points,SMT test point,Keystone,5015,C2906768,-,TEST-SMD_L2.7-W1.0 [UNVERIFIED],,,,SMT_TOP,NO,Top-access SMT test point; keep high-speed stubs short.,https://datasheet.lcsc.com/datasheet/pdf/92094172d6d10050dfee88ee891cc96e.pdf?productCode=C2906768
MH1,1,Mechanical feature,M3 3.2mm NPTH,PCB fabrication,MOUNT_HOLE_M3,N/A,3.2mm NPTH,Mechanical definition; no PCB generated,,,,FABRICATION,N/A,Unplated; no net; 6mm mechanical keepout; X/Y pending layout.,
MH2,1,Mechanical feature,M3 3.2mm NPTH,PCB fabrication,MOUNT_HOLE_M3,N/A,3.2mm NPTH,Mechanical definition; no PCB generated,,,,FABRICATION,N/A,Unplated; no net; 6mm mechanical keepout; X/Y pending layout.,
MH3,1,Mechanical feature,M3 3.2mm NPTH,PCB fabrication,MOUNT_HOLE_M3,N/A,3.2mm NPTH,Mechanical definition; no PCB generated,,,,FABRICATION,N/A,Unplated; no net; 6mm mechanical keepout; X/Y pending layout.,
MH4,1,Mechanical feature,M3 3.2mm NPTH,PCB fabrication,MOUNT_HOLE_M3,N/A,3.2mm NPTH,Mechanical definition; no PCB generated,,,,FABRICATION,N/A,Unplated; no net; 6mm mechanical keepout; X/Y pending layout.,
